RowNumber,Node name,IP Adress,Risk Scope,Location,Port 21,Port 22 SSH,Telnet Port 23,Port 25,Port 53,Email -110,Port 80,Security Problem,,,,
1,a,Hargrave,619,France,0,0,0,0,0,0,0,0,,,,1 = open/Yes
2,b,Hill,608,Spain,1,0,0,0,0,0,0,0,,,,0 = closed/No
3,c,Onio,502,France,0,0,0,1,0,0,0,0,,,,
4,d,Boni,699,France,0,0,0,0,0,0,1,0,,,,
4,d,Boni,699,France,1,0,0,1,0,0,1,0,,,,
5,e,Mitchell,850,Spain,0,1,0,0,0,0,0,1,,,,
6,d,Chu,645,Spain,0,0,1,0,0,0,0,1,,,,
7,e,Bartlett,822,France,0,0,0,0,1,0,0,1,,,,
8,f,Obinna,376,Germany,0,0,0,0,0,1,0,1,,,,
10,h,H?,684,France,0,1,1,0,1,1,0,1,,,,
11,i,Bearce,528,France,1,1,1,1,1,1,1,1,,,,
1,a,Hargrave,619,France,0,0,0,0,0,0,0,0,,,,
2,b,Hill,608,Spain,1,0,0,0,0,0,0,0,,,,
3,c,Onio,502,France,0,0,0,1,0,0,0,0,,,,
4,d,Boni,699,France,0,0,0,0,0,0,1,0,,,,
3,c,Onio,502,Russia,1,0,0,1,0,0,1,1,,,,
10,h,H?,684,France,0,1,0,0,0,0,0,1,,,,
1,a,Hargrave,619,France,0,0,1,0,0,0,0,1,,,,
5,e,Mitchell,850,Spain,0,0,0,0,1,0,0,1,,,,
6,d,Chu,645,Spain,0,0,0,0,0,1,0,1,,,,
7,e,Bartlett,822,France,0,1,1,0,1,1,0,1,,,,
8,f,Obinna,376,Germany,1,1,1,1,1,1,1,1,,,,
10,h,H?,684,France,0,0,0,0,0,0,0,0,,,,
11,i,Bearce,528,France,1,0,0,0,0,0,0,0,,,,
1,b,Hargrave,619,France,0,0,0,1,0,0,0,0,,,,
2,c,Hill,619,Russia,0,0,0,0,0,0,1,0,,,,
3,d,Onio,608,France,1,0,0,1,0,0,1,0,,,,
4,d,Boni,502,France,0,1,0,0,0,0,0,1,,,,
3,e,Onio,699,France,0,0,1,0,0,0,0,1,,,,
10,d,H?,699,Russia,0,0,0,0,1,0,0,1,,,,
1,e,Hargrave,850,France,0,0,0,0,0,1,0,1,,,,
5,f,Mitchell,645,Spain,0,1,1,0,1,1,0,1,,,,
6,h,Chu,822,Spain,1,1,1,1,1,1,1,1,,,,
1,i,Hargrave,376,France,0,0,0,0,0,0,0,0,,,,
2,a,Hill,684,Spain,1,0,0,0,0,0,0,0,,,,
3,b,Onio,528,France,0,0,0,1,0,0,0,0,,,,
4,c,Boni,619,France,0,0,0,0,0,0,1,0,,,,
3,d,Onio,608,Russia,1,0,0,1,0,0,1,1,,,,
10,c,H?,502,France,0,1,0,0,0,0,0,1,,,,
1,h,Hargrave,699,France,0,0,1,0,0,0,0,1,,,,
5,a,Mitchell,502,Spain,0,0,0,0,1,0,0,1,,,,
6,e,Chu,684,Spain,0,0,0,0,0,1,0,1,,,,
7,d,Bartlett,619,France,0,1,1,0,1,1,0,1,,,,
8,e,Obinna,850,Germany,1,1,1,1,1,1,1,1,,,,
10,f,H?,645,France,0,0,0,0,0,0,0,0,,,,
11,h,Bearce,822,Russia,1,0,0,0,0,0,0,1,,,,
1,i,Hargrave,376,France,0,0,0,1,0,0,0,0,,,,
2,a,Hill,684,Spain,0,0,0,0,0,0,1,0,,,,
3,b,Onio,502,France,1,0,0,1,0,0,1,0,,,,
